Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description
J1,1,Keypad PCB,PinHeader_1x14_P1.00mm_Vertical,,,,tht,"Generic connector, single row, 01x14, script generated (kicad-library-utils/schlib/autogen/connector/)"
SW1,1,F,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW10,1,ШГ←,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW11,1,Х←П,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW12,1,4,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW13,1,5,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW14,1,6,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW15,1,+,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW16,1,x,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW17,1,↓↑,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW18,1,B/0,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW19,1,БП,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW2,1,ШГ→,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW20,1,1,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW21,1,2,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW22,1,3,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW23,1,↔,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW24,1,В↑,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW25,1,A↑,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW26,1,С/П,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW27,1,ПП,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW28,1,0,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW29,1,.,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW3,1,П→Х,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW30,1,/-/,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW31,1,ВП,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW32,1,СХ,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW4,1,7,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW5,1,8,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW6,1,9,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW7,1,-,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW8,1,÷,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
SW9,1,K,MSLPT5252AL4TR,,,,smt,"Push button switch, normally open, two pins, 45° tilted"
