pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
116.0,-83.0,-90.0,top,J1,,,PinHeader_1x14_P1.00mm_Vertical,Keypad PCB,tht
78.0,-52.0,0.0,top,SW1,,,MSLPT5252AL4TR,F,smt
90.5,-64.5,0.0,top,SW10,,,MSLPT5252AL4TR,ШГ←,smt
103.0,-64.5,0.0,top,SW11,,,MSLPT5252AL4TR,Х←П,smt
115.5,-64.5,0.0,top,SW12,,,MSLPT5252AL4TR,4,smt
128.0,-64.5,0.0,top,SW13,,,MSLPT5252AL4TR,5,smt
140.5,-64.5,0.0,top,SW14,,,MSLPT5252AL4TR,6,smt
153.0,-64.5,0.0,top,SW15,,,MSLPT5252AL4TR,+,smt
165.5,-64.5,0.0,top,SW16,,,MSLPT5252AL4TR,x,smt
78.0,-77.0,0.0,top,SW17,,,MSLPT5252AL4TR,↓↑,smt
90.5,-77.0,0.0,top,SW18,,,MSLPT5252AL4TR,B/0,smt
103.0,-77.0,0.0,top,SW19,,,MSLPT5252AL4TR,БП,smt
90.5,-52.0,0.0,top,SW2,,,MSLPT5252AL4TR,ШГ→,smt
115.5,-77.0,0.0,top,SW20,,,MSLPT5252AL4TR,1,smt
128.0,-77.0,0.0,top,SW21,,,MSLPT5252AL4TR,2,smt
140.5,-77.0,0.0,top,SW22,,,MSLPT5252AL4TR,3,smt
153.0,-77.0,0.0,top,SW23,,,MSLPT5252AL4TR,↔,smt
165.5,-77.0,0.0,top,SW24,,,MSLPT5252AL4TR,В↑,smt
78.0,-89.5,0.0,top,SW25,,,MSLPT5252AL4TR,A↑,smt
90.5,-89.5,0.0,top,SW26,,,MSLPT5252AL4TR,С/П,smt
103.0,-89.5,0.0,top,SW27,,,MSLPT5252AL4TR,ПП,smt
115.5,-89.5,0.0,top,SW28,,,MSLPT5252AL4TR,0,smt
128.0,-89.5,0.0,top,SW29,,,MSLPT5252AL4TR,.,smt
103.0,-52.0,0.0,top,SW3,,,MSLPT5252AL4TR,П→Х,smt
140.5,-89.5,0.0,top,SW30,,,MSLPT5252AL4TR,/-/,smt
153.0,-89.5,0.0,top,SW31,,,MSLPT5252AL4TR,ВП,smt
165.5,-89.5,0.0,top,SW32,,,MSLPT5252AL4TR,СХ,smt
115.5,-52.0,0.0,top,SW4,,,MSLPT5252AL4TR,7,smt
128.0,-52.0,0.0,top,SW5,,,MSLPT5252AL4TR,8,smt
140.5,-52.0,0.0,top,SW6,,,MSLPT5252AL4TR,9,smt
153.0,-52.0,0.0,top,SW7,,,MSLPT5252AL4TR,-,smt
165.5,-52.0,0.0,top,SW8,,,MSLPT5252AL4TR,÷,smt
78.0,-64.5,0.0,top,SW9,,,MSLPT5252AL4TR,K,smt
